distrito,metodo,desc.viva,vive,educ,religion,prop.muj.alf,prop.muj.mus.rezan
1,2,1,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,sec.comp+,musul,0.09,0.64
1,4,2,urbana,sec.incomp,musul,0.09,0.64
1,2,2,urbana,sec.comp+,musul,0.09,0.64
1,4,2,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,hindu,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,sec.comp+,musul,0.09,0.64
1,3,3,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,primaria,musul,0.09,0.64
1,4,2,urbana,sec.comp+,musul,0.09,0.64
1,2,3,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,2,1,urbana,sec.comp+,musul,0.09,0.64
1,2,2,urbana,sec.incomp,musul,0.09,0.64
1,3,3,urbana,ninguna,musul,0.09,0.64
1,1,3,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,ninguna,musul,0.09,0.64
1,2,3,urbana,sec.incomp,musul,0.09,0.64
1,4,3,urbana,sec.comp+,musul,0.09,0.64
1,1,3,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,ninguna,musul,0.09,0.64
1,1,2,urbana,sec.comp+,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,2,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,2,2,urbana,sec.comp+,musul,0.09,0.64
1,4,0,urbana,sec.comp+,musul,0.09,0.64
1,2,0,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,sec.comp+,musul,0.09,0.64
1,2,2,urbana,ninguna,musul,0.09,0.64
1,3,1,urbana,sec.comp+,musul,0.09,0.64
1,2,2,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,ninguna,hindu,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,2,urbana,ninguna,musul,0.09,0.64
1,4,2,urbana,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,ninguna,musul,0.09,0.64
1,4,1,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,0,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,0,rural,primaria,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,2,3,rural,sec.comp+,musul,0.09,0.64
1,4,3,rural,sec.comp+,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,sec.comp+,musul,0.09,0.64
1,1,3,rural,ninguna,hindu,0.09,0.64
1,4,3,rural,sec.incomp,musul,0.09,0.64
1,4,3,rural,sec.incomp,musul,0.09,0.64
1,1,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,ninguna,hindu,0.09,0.64
1,4,3,rural,sec.incomp,musul,0.09,0.64
1,2,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,sec.comp+,musul,0.09,0.64
1,4,1,rural,primaria,musul,0.09,0.64
1,2,3,rural,sec.comp+,musul,0.09,0.64
1,2,2,rural,sec.comp+,musul,0.09,0.64
1,2,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,sec.incomp,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,3,3,rural,ninguna,musul,0.09,0.64
1,4,1,rural,ninguna,hindu,0.09,0.64
1,4,3,rural,sec.comp+,musul,0.09,0.64
1,2,3,rural,sec.comp+,hindu,0.09,0.64
1,1,3,rural,sec.incomp,hindu,0.09,0.64
1,3,2,rural,primaria,hindu,0.09,0.64
1,2,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,1,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,3,rural,primaria,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,3,rural,sec.comp+,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,1,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,4,0,rural,sec.comp+,musul,0.09,0.64
1,4,1,rural,sec.incomp,musul,0.09,0.64
1,4,0,rural,ninguna,musul,0.09,0.64
1,4,1,rural,sec.incomp,musul,0.09,0.64
1,4,0,rural,ninguna,musul,0.09,0.64
1,4,2,rural,primaria,musul,0.09,0.64
1,4,0,rural,primaria,musul,0.09,0.64
1,4,1,rural,ninguna,musul,0.09,0.64
1,4,3,rural,ninguna,musul,0.09,0.64
1,2,1,rural,sec.incomp,musul,0.09,0.64
1,4,3,rural,sec.incomp,musul,0.09,0.64
1,4,1,rural,sec.comp+,musul,0.09,0.64
1,4,2,rural,ninguna,musul,0.09,0.64
1,4,2,rural,sec.comp+,musul,0.09,0.64
2,4,3,rural,ninguna,musul,0.11,0.78
2,4,3,rural,primaria,musul,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,0,rural,ninguna,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,0,rural,ninguna,musul,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,3,2,rural,ninguna,musul,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,4,1,rural,sec.incomp,musul,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,2,3,rural,sec.comp+,musul,0.11,0.78
2,2,1,rural,sec.comp+,musul,0.11,0.78
2,1,3,rural,sec.incomp,musul,0.11,0.78
2,2,2,rural,sec.comp+,musul,0.11,0.78
2,4,3,rural,primaria,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,1,rural,ninguna,musul,0.11,0.78
2,3,3,rural,ninguna,musul,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,4,0,rural,ninguna,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,0,rural,ninguna,musul,0.11,0.78
2,4,0,rural,ninguna,hindu,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,4,0,rural,ninguna,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,3,rural,ninguna,musul,0.11,0.78
2,2,2,rural,primaria,musul,0.11,0.78
2,4,0,rural,ninguna,musul,0.11,0.78
2,2,2,rural,sec.incomp,musul,0.11,0.78
2,4,2,rural,ninguna,musul,0.11,0.78
2,4,1,rural,ninguna,musul,0.11,0.78
3,4,0,urbana,primaria,musul,0.3,0.6
3,3,3,urbana,sec.incomp,musul,0.3,0.6
3,2,0,urbana,sec.incomp,musul,0.3,0.6
4,2,1,urbana,sec.comp+,musul,0.1,0.38
4,4,2,urbana,sec.comp+,musul,0.1,0.38
4,2,1,urbana,sec.comp+,musul,0.1,0.38
4,2,3,urbana,sec.incomp,musul,0.1,0.38
4,4,2,urbana,sec.incomp,musul,0.1,0.38
4,2,2,urbana,sec.comp+,musul,0.1,0.38
4,4,0,urbana,sec.comp+,musul,0.1,0.38
4,2,3,urbana,sec.comp+,musul,0.1,0.38
4,2,2,urbana,sec.incomp,hindu,0.1,0.38
4,4,2,urbana,sec.comp+,musul,0.1,0.38
4,2,3,urbana,primaria,hindu,0.1,0.38
4,2,3,urbana,sec.incomp,hindu,0.1,0.38
4,2,1,urbana,sec.comp+,hindu,0.1,0.38
4,2,1,urbana,sec.comp+,musul,0.1,0.38
4,4,0,urbana,sec.comp+,musul,0.1,0.38
4,2,3,urbana,ninguna,musul,0.1,0.38
4,2,1,urbana,ninguna,musul,0.1,0.38
4,4,2,rural,ninguna,musul,0.1,0.38
4,2,1,rural,sec.comp+,musul,0.1,0.38
4,2,3,rural,primaria,musul,0.1,0.38
4,4,0,rural,ninguna,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,0,rural,sec.comp+,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,2,3,rural,sec.comp+,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,2,rural,ninguna,musul,0.1,0.38
4,2,1,rural,ninguna,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,3,rural,primaria,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,1,3,rural,ninguna,musul,0.1,0.38
4,2,3,rural,ninguna,musul,0.1,0.38
4,1,3,rural,primaria,musul,0.1,0.38
4,4,0,rural,ninguna,musul,0.1,0.38
4,4,0,rural,primaria,musul,0.1,0.38
4,4,2,rural,ninguna,musul,0.1,0.38
4,1,3,rural,ninguna,musul,0.1,0.38
4,4,2,rural,sec.incomp,musul,0.1,0.38
4,4,1,rural,sec.incomp,musul,0.1,0.38
4,4,2,rural,primaria,musul,0.1,0.38
4,4,3,rural,ninguna,musul,0.1,0.38
4,4,0,rural,ninguna,musul,0.1,0.38
5,4,0,urbana,primaria,musul,0.19,0.67
5,4,3,urbana,ninguna,musul,0.19,0.67
5,4,2,urbana,primaria,musul,0.19,0.67
5,4,0,urbana,ninguna,musul,0.19,0.67
5,2,3,urbana,sec.comp+,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,2,2,rural,ninguna,musul,0.19,0.67
5,4,1,rural,sec.incomp,hindu,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,0,rural,sec.incomp,musul,0.19,0.67
5,3,2,rural,sec.incomp,musul,0.19,0.67
5,2,3,rural,ninguna,musul,0.19,0.67
5,4,0,rural,ninguna,musul,0.19,0.67
5,4,3,rural,primaria,musul,0.19,0.67
5,2,0,rural,ninguna,musul,0.19,0.67
5,2,1,rural,ninguna,musul,0.19,0.67
5,2,1,rural,ninguna,musul,0.19,0.67
5,4,3,rural,sec.comp+,musul,0.19,0.67
5,3,0,rural,ninguna,musul,0.19,0.67
5,4,0,rural,sec.comp+,musul,0.19,0.67
5,4,3,rural,sec.comp+,musul,0.19,0.67
5,2,3,rural,ninguna,musul,0.19,0.67
5,4,0,rural,ninguna,musul,0.19,0.67
5,4,3,rural,primaria,musul,0.19,0.67
5,4,0,rural,ninguna,musul,0.19,0.67
5,3,1,rural,primaria,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,2,3,rural,ninguna,musul,0.19,0.67
5,4,0,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,1,3,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,1,rural,sec.incomp,musul,0.19,0.67
5,4,0,rural,ninguna,musul,0.19,0.67
5,2,2,rural,ninguna,musul,0.19,0.67
5,3,2,rural,ninguna,musul,0.19,0.67
5,2,3,rural,ninguna,musul,0.19,0.67
5,1,3,rural,sec.comp+,musul,0.19,0.67
5,2,2,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,2,rural,ninguna,musul,0.19,0.67
5,2,2,rural,sec.comp+,musul,0.19,0.67
5,2,0,rural,sec.incomp,musul,0.19,0.67
5,4,0,rural,sec.comp+,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,2,rural,primaria,musul,0.19,0.67
5,1,3,rural,sec.comp+,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,4,3,rural,ninguna,musul,0.19,0.67
5,2,0,rural,ninguna,musul,0.19,0.67
6,2,0,urbana,sec.comp+,musul,0.11,0.62
6,2,1,urbana,sec.comp+,musul,0.11,0.62
6,2,0,urbana,sec.comp+,musul,0.11,0.62
6,1,3,urbana,sec.comp+,musul,0.11,0.62
6,4,3,urbana,ninguna,musul,0.11,0.62
6,4,2,urbana,ninguna,hindu,0.11,0.62
6,2,0,urbana,sec.comp+,hindu,0.11,0.62
6,4,3,urbana,ninguna,musul,0.11,0.62
6,2,3,urbana,sec.comp+,musul,0.11,0.62
6,2,2,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,2,0,rural,sec.incomp,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,sec.comp+,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,primaria,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,2,1,rural,sec.incomp,musul,0.11,0.62
6,4,1,rural,sec.incomp,musul,0.11,0.62
6,4,0,rural,sec.comp+,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,1,3,rural,primaria,musul,0.11,0.62
6,3,2,rural,sec.incomp,musul,0.11,0.62
6,2,2,rural,sec.comp+,musul,0.11,0.62
6,4,0,rural,sec.incomp,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,primaria,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,hindu,0.11,0.62
6,3,1,rural,sec.incomp,hindu,0.11,0.62
6,3,0,rural,sec.comp+,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,2,1,rural,sec.incomp,musul,0.11,0.62
6,1,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,2,2,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,0,rural,primaria,musul,0.11,0.62
6,1,3,rural,ninguna,musul,0.11,0.62
6,1,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,4,0,rural,sec.incomp,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,4,3,rural,primaria,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,4,0,rural,sec.comp+,musul,0.11,0.62
6,4,3,rural,sec.comp+,musul,0.11,0.62
6,1,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,sec.incomp,musul,0.11,0.62
6,4,0,rural,sec.comp+,musul,0.11,0.62
6,4,3,rural,primaria,musul,0.11,0.62
6,2,1,rural,sec.comp+,musul,0.11,0.62
6,4,1,rural,primaria,musul,0.11,0.62
6,4,1,rural,primaria,musul,0.11,0.62
6,2,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,1,rural,sec.incomp,musul,0.11,0.62
6,4,0,rural,sec.incomp,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,primaria,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,1,rural,primaria,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,0,rural,sec.comp+,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,sec.incomp,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,sec.incomp,musul,0.11,0.62
6,3,2,rural,sec.incomp,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,3,3,rural,sec.incomp,musul,0.11,0.62
6,3,3,rural,ninguna,musul,0.11,0.62
6,4,1,rural,ninguna,musul,0.11,0.62
6,2,3,rural,ninguna,musul,0.11,0.62
6,4,3,rural,ninguna,musul,0.11,0.62
6,4,2,rural,ninguna,musul,0.11,0.62
6,1,3,rural,ninguna,musul,0.11,0.62
6,4,0,rural,ninguna,musul,0.11,0.62
7,4,3,rural,ninguna,musul,0.11,0.74
7,4,1,rural,ninguna,musul,0.11,0.74
7,4,1,rural,ninguna,musul,0.11,0.74
7,4,0,rural,ninguna,musul,0.11,0.74
7,4,3,rural,ninguna,musul,0.11,0.74
7,1,2,rural,ninguna,musul,0.11,0.74
7,4,0,rural,ninguna,musul,0.11,0.74
7,2,3,rural,ninguna,musul,0.11,0.74
7,4,3,rural,ninguna,musul,0.11,0.74
7,3,0,rural,ninguna,musul,0.11,0.74
7,4,0,rural,ninguna,musul,0.11,0.74
7,4,1,rural,ninguna,musul,0.11,0.74
7,4,3,rural,sec.incomp,musul,0.11,0.74
7,3,1,rural,ninguna,musul,0.11,0.74
7,4,3,rural,ninguna,musul,0.11,0.74
7,4,1,rural,ninguna,musul,0.11,0.74
7,4,0,rural,ninguna,musul,0.11,0.74
7,3,3,rural,ninguna,musul,0.11,0.74
7,4,0,rural,ninguna,musul,0.11,0.74
7,4,3,rural,ninguna,musul,0.11,0.74
7,3,1,rural,ninguna,musul,0.11,0.74
7,4,2,rural,ninguna,musul,0.11,0.74
7,4,0,rural,ninguna,musul,0.11,0.74
7,4,0,rural,primaria,musul,0.11,0.74
7,3,0,rural,ninguna,musul,0.11,0.74
8,2,0,urbana,sec.comp+,hindu,0.16,0.57
8,2,2,urbana,primaria,hindu,0.16,0.57
8,2,2,urbana,primaria,hindu,0.16,0.57
8,2,2,urbana,primaria,hindu,0.16,0.57
8,2,3,urbana,sec.comp+,hindu,0.16,0.57
8,1,3,urbana,sec.comp+,musul,0.16,0.57
8,4,0,rural,ninguna,musul,0.16,0.57
8,4,3,rural,ninguna,musul,0.16,0.57
8,4,3,rural,ninguna,musul,0.16,0.57
8,2,2,rural,ninguna,musul,0.16,0.57
8,4,3,rural,ninguna,musul,0.16,0.57
8,4,0,rural,ninguna,musul,0.16,0.57
8,1,3,rural,ninguna,musul,0.16,0.57
8,4,1,rural,primaria,musul,0.16,0.57
8,4,0,rural,sec.comp+,musul,0.16,0.57
8,4,3,rural,primaria,musul,0.16,0.57
8,2,0,rural,sec.comp+,musul,0.16,0.57
8,2,1,rural,sec.incomp,hindu,0.16,0.57
8,4,0,rural,primaria,hindu,0.16,0.57
8,3,2,rural,ninguna,hindu,0.16,0.57
8,2,1,rural,sec.comp+,hindu,0.16,0.57
8,3,3,rural,primaria,hindu,0.16,0.57
8,3,3,rural,sec.comp+,musul,0.16,0.57
8,4,1,rural,sec.incomp,musul,0.16,0.57
8,2,3,rural,sec.comp+,musul,0.16,0.57
8,2,1,rural,primaria,hindu,0.16,0.57
8,1,3,rural,primaria,musul,0.16,0.57
8,4,0,rural,primaria,musul,0.16,0.57
8,4,2,rural,sec.incomp,musul,0.16,0.57
8,2,1,rural,sec.comp+,musul,0.16,0.57
8,4,3,rural,primaria,musul,0.16,0.57
8,4,0,rural,sec.incomp,musul,0.16,0.57
8,2,1,rural,sec.comp+,musul,0.16,0.57
8,4,0,rural,sec.incomp,musul,0.16,0.57
8,3,3,rural,ninguna,musul,0.16,0.57
8,4,2,rural,ninguna,musul,0.16,0.57
8,4,2,rural,primaria,hindu,0.16,0.57
8,1,3,rural,ninguna,hindu,0.16,0.57
8,3,2,rural,ninguna,hindu,0.16,0.57
8,1,3,rural,ninguna,hindu,0.16,0.57
8,4,1,rural,ninguna,musul,0.16,0.57
8,1,3,rural,ninguna,musul,0.16,0.57
8,4,1,rural,ninguna,musul,0.16,0.57
8,4,1,rural,primaria,musul,0.16,0.57
8,4,0,rural,ninguna,musul,0.16,0.57
8,4,3,rural,ninguna,musul,0.16,0.57
8,3,2,rural,primaria,musul,0.16,0.57
8,4,0,rural,ninguna,musul,0.16,0.57
8,4,3,rural,ninguna,musul,0.16,0.57
8,4,1,rural,ninguna,musul,0.16,0.57
8,4,3,rural,primaria,musul,0.16,0.57
8,4,0,rural,primaria,musul,0.16,0.57
8,4,1,rural,ninguna,musul,0.16,0.57
8,4,1,rural,ninguna,musul,0.16,0.57
8,4,0,rural,ninguna,musul,0.16,0.57
8,4,2,rural,ninguna,hindu,0.16,0.57
8,4,0,rural,ninguna,hindu,0.16,0.57
8,4,3,rural,ninguna,hindu,0.16,0.57
9,1,2,urbana,ninguna,musul,0.13,0.6
9,2,3,urbana,sec.incomp,musul,0.13,0.6
9,2,2,urbana,sec.comp+,musul,0.13,0.6
9,4,3,urbana,ninguna,musul,0.13,0.6
9,4,2,rural,sec.incomp,musul,0.13,0.6
9,2,3,rural,sec.comp+,musul,0.13,0.6
9,4,3,rural,ninguna,hindu,0.13,0.6
9,3,3,rural,ninguna,hindu,0.13,0.6
9,3,1,rural,sec.comp+,hindu,0.13,0.6
9,3,1,rural,sec.comp+,hindu,0.13,0.6
9,4,3,rural,primaria,musul,0.13,0.6
9,3,3,rural,ninguna,hindu,0.13,0.6
9,2,2,rural,sec.comp+,musul,0.13,0.6
9,4,0,rural,ninguna,musul,0.13,0.6
9,4,3,rural,primaria,musul,0.13,0.6
9,4,2,rural,sec.comp+,musul,0.13,0.6
9,4,1,rural,ninguna,musul,0.13,0.6
9,3,3,rural,ninguna,musul,0.13,0.6
9,4,2,rural,sec.comp+,musul,0.13,0.6
9,4,2,rural,sec.comp+,musul,0.13,0.6
9,4,3,rural,ninguna,musul,0.13,0.6
9,4,3,rural,primaria,musul,0.13,0.6
9,4,0,rural,sec.comp+,musul,0.13,0.6
9,4,3,rural,ninguna,musul,0.13,0.6
9,4,3,rural,primaria,musul,0.13,0.6
9,4,0,rural,sec.incomp,musul,0.13,0.6
9,4,1,rural,sec.comp+,musul,0.13,0.6
9,3,2,rural,sec.comp+,musul,0.13,0.6
9,4,2,rural,ninguna,musul,0.13,0.6
9,4,3,rural,ninguna,musul,0.13,0.6
9,3,3,rural,ninguna,musul,0.13,0.6
9,1,3,rural,ninguna,musul,0.13,0.6
9,4,3,rural,ninguna,musul,0.13,0.6
9,4,3,rural,ninguna,musul,0.13,0.6
10,4,0,rural,ninguna,musul,0.07,0.54
10,4,0,rural,ninguna,musul,0.07,0.54
10,4,0,rural,ninguna,musul,0.07,0.54
10,4,2,rural,ninguna,musul,0.07,0.54
10,4,3,rural,primaria,musul,0.07,0.54
10,4,0,rural,sec.comp+,musul,0.07,0.54
10,4,1,rural,ninguna,musul,0.07,0.54
10,4,3,rural,ninguna,musul,0.07,0.54
10,4,3,rural,ninguna,musul,0.07,0.54
10,4,0,rural,ninguna,musul,0.07,0.54
10,4,3,rural,ninguna,musul,0.07,0.54
10,2,1,rural,ninguna,musul,0.07,0.54
10,4,3,rural,sec.incomp,musul,0.07,0.54
10,4,2,rural,ninguna,musul,0.07,0.54
10,4,3,rural,ninguna,musul,0.07,0.54
10,4,0,rural,ninguna,musul,0.07,0.54
10,3,3,rural,ninguna,musul,0.07,0.54
10,4,0,rural,primaria,musul,0.07,0.54
10,4,0,rural,primaria,musul,0.07,0.54
11,4,0,rural,ninguna,musul,0,0.69
11,4,0,rural,ninguna,musul,0,0.69
11,4,1,rural,ninguna,musul,0,0.69
11,4,1,rural,ninguna,musul,0,0.69
11,4,0,rural,ninguna,musul,0,0.69
11,4,0,rural,ninguna,musul,0,0.69
11,4,0,rural,ninguna,musul,0,0.69
11,4,0,rural,ninguna,musul,0,0.69
